mz	time	LC_Mode	DSSTox Chemical Name	Molecular_formula
197.08145	64.7	C18_neg	13-Butylene diacrylate	C10 H14 O4
197.08145	64.7	C18_neg	22-Benzene-13-diylbis(oxy)diethanol	C10 H14 O4
197.08145	64.7	C18_neg	Hexanedioic acid diethenyl ester	C10 H14 O4
213.11294	22.2	C18_neg	33-Dimethyl-15-dioxacycloundecane-611-dione	C11 H18 O4
187.09443	24.7	HILIC_pos	NN-Dinitrosopentamethylenetetramine	C5 H10 N6 O2
183.06583	24.3	C18_neg	Disodium cis-endo-bicyclo(221)heptane-23-dicarboxylate	NA
193.15908	23.4	HILIC_pos	alpha-Ionone	NA
193.15908	23.4	HILIC_pos	1-(266-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one	C13 H20 O
235.19062	22.6	HILIC_pos	22-Bis(tert-butylperoxy)butane	C12 H26 O4
171.18572	15.7	HILIC_pos	Isophorone diamine	C10 H22 N2
241.08692	144.7	C18_neg	Bisphenol-O-quinone	C15 H14 O3
241.10801	22.8	C18_neg	Di(ethylene glycol) dimethacrylate	C12 H18 O5
167.99382	21.7	HILIC_pos	2-Mercaptobenzothiazole	C7 H5 N S2
134.0449	210.9	HILIC_pos	L-Aspartic acid	NA
257.10305	22.6	C18_neg	Triethylene glycol diacrylate	C12 H18 O6
108.0811	16.8	HILIC_pos	2-Methylaniline	C7 H9 N
108.0811	16.8	HILIC_pos	Boron (benzenemethanamine)trifluoro- (T-4)-	C7 H9 N
257.10234	180.8	C18_neg	Triethylene glycol diacrylate	C12 H18 O6
345.23112	24.9	HILIC_pos	NN-Dicinnamylidene-16-hexanediamine	C24 H28 N2
139.08678	30	HILIC_pos	24-Diaminoanisole	C7 H10 N2 O
139.08678	30	HILIC_pos	2-Imidazolidinone 13-diethenyl-	C7 H10 N2 O
225.14951	67.9	C18_neg	Methyl dihydrojasmonate	C13 H22 O3
378.98531	188.9	HILIC_pos	Ammonium 48-dioxa-3H-perfluorononanoate	NA
270.20778	234.6	C18_neg	Sodium dodecanoyl(methyl)aminoacetate	C15 H29 N O3
195.08736	23	HILIC_pos	Isophthalyl dihydrazide	C8 H10 N4 O2
179.07078	19.8	C18_neg	Propylparaben	C10 H12 O3
179.07078	19.8	C18_neg	Isopropylparaben	C10 H12 O3
363.00665	225.5	C18_neg	6:2 Fluorotelomer alcohol	C8 H5 F13 O
133.08601	25.6	HILIC_pos	1-Methoxy-2-propyl acetate	C6 H12 O3
133.08601	25.6	HILIC_pos	tert-Butyl peroxyacetate	C6 H12 O3
133.08601	25.6	HILIC_pos	Butyl hydroxyacetate	C6 H12 O3
133.08601	25.6	HILIC_pos	2-Methoxy-1-propyl acetate	C6 H12 O3
133.08601	25.6	HILIC_pos	Ethylene glycol monoethyl ether acetate	C6 H12 O3
133.08601	25.6	HILIC_pos	Solketal	C6 H12 O3
163.07554	19.7	HILIC_pos	4-Ethenylphenyl acetate	C10 H10 O2
163.07554	19.7	HILIC_pos	Benzyl acrylate	C10 H10 O2
163.07554	19.7	HILIC_pos	Phenyl methacrylate	C10 H10 O2
163.0395	175.8	C18_neg	2-Norbornene-56-dicarboxylic anhydride	C9 H8 O3
183.06597	275.8	C18_neg	Disodium cis-endo-bicyclo(221)heptane-23-dicarboxylate	NA
115.07578	22	HILIC_pos	2-Propenoic acid propyl ester	C6 H10 O2
115.07578	22	HILIC_pos	Ethyl methacrylate	C6 H10 O2
115.07578	22	HILIC_pos	Caprolactone	C6 H10 O2
115.07578	22	HILIC_pos	Allyl glycidyl ether	C6 H10 O2
115.07578	22	HILIC_pos	Isopropyl acrylate	C6 H10 O2
163.03935	105.6	C18_neg	2-Norbornene-56-dicarboxylic anhydride	C9 H8 O3
273.13084	23.5	HILIC_pos	Diphenyldiethoxysilane	C16 H20 O2 Si
227.12882	183.6	C18_neg	Dibutyl maleate	NA
